DATE,SFTPINDM114SFRBSF
1971-04-01,0.91864
1971-05-01,0.93004
1971-06-01,0.93852
1971-07-01,0.94454
1971-08-01,0.94967
1971-09-01,0.95480
1971-10-01,0.96187
1971-11-01,0.97856
1971-12-01,1.01051
1972-01-01,1.04693
1972-02-01,1.06892
1972-03-01,1.07326
1972-04-01,1.07018
1972-05-01,1.06948
1972-06-01,1.07554
1972-07-01,1.08662
1972-08-01,1.09709
1972-09-01,1.10928
1972-10-01,1.12849
1972-11-01,1.15732
1972-12-01,1.19006
1973-01-01,1.21884
1973-02-01,1.24258
1973-03-01,1.26692
1973-04-01,1.29529
1973-05-01,1.32450
1973-06-01,1.34645
1973-07-01,1.35973
1973-08-01,1.38060
1973-09-01,1.41356
1973-10-01,1.45268
1973-11-01,1.48825
1973-12-01,1.51573
1974-01-01,1.53837
1974-02-01,1.55085
1974-03-01,1.55304
1974-04-01,1.56469
1974-05-01,1.60396
1974-06-01,1.65582
1974-07-01,1.69407
1974-08-01,1.72724
1974-09-01,1.78195
1974-10-01,1.82834
1974-11-01,1.83806
1974-12-01,1.81937
1975-01-01,1.79107
1975-02-01,1.76283
1975-03-01,1.73760
1975-04-01,1.70860
1975-05-01,1.67694
1975-06-01,1.65211
1975-07-01,1.64250
1975-08-01,1.64365
1975-09-01,1.64759
1975-10-01,1.65002
1975-11-01,1.65676
1975-12-01,1.67875
1976-01-01,1.71661
1976-02-01,1.76756
1976-03-01,1.83055
1976-04-01,1.90365
1976-05-01,1.97963
1976-06-01,2.05158
1976-07-01,2.12429
1976-08-01,2.20287
1976-09-01,2.29217
1976-10-01,2.38932
1976-11-01,2.48383
1976-12-01,2.56356
1977-01-01,2.62841
1977-02-01,2.69978
1977-03-01,2.77815
1977-04-01,2.85748
1977-05-01,2.92470
1977-06-01,2.98393
1977-07-01,3.04802
1977-08-01,3.12672
1977-09-01,3.21771
1977-10-01,3.30871
1977-11-01,3.37983
1977-12-01,3.42454
1978-01-01,3.47014
1978-02-01,3.57074
1978-03-01,3.72801
1978-04-01,3.89255
1978-05-01,4.03161
1978-06-01,4.15132
1978-07-01,4.26640
1978-08-01,4.38844
1978-09-01,4.51169
1978-10-01,4.63294
1978-11-01,4.75565
1978-12-01,4.89135
1979-01-01,5.04491
1979-02-01,5.18001
1979-03-01,5.26843
1979-04-01,5.34554
1979-05-01,5.47713
1979-06-01,5.66066
1979-07-01,5.83855
1979-08-01,5.98332
1979-09-01,6.12139
1979-10-01,6.29590
1979-11-01,6.50261
1979-12-01,6.70175
1980-01-01,6.86838
1980-02-01,7.00875
1980-03-01,7.13455
1980-04-01,7.27332
1980-05-01,7.43621
1980-06-01,7.61507
1980-07-01,7.80225
1980-08-01,7.97161
1980-09-01,8.12148
1980-10-01,8.25904
1980-11-01,8.40839
1980-12-01,8.58420
1981-01-01,8.77876
1981-02-01,8.96438
1981-03-01,9.15443
1981-04-01,9.37553
1981-05-01,9.58768
1981-06-01,9.76877
1981-07-01,9.94929
1981-08-01,10.17585
1981-09-01,10.40911
1981-10-01,10.56715
1981-11-01,10.67285
1981-12-01,10.87475
1982-01-01,11.23853
1982-02-01,11.55291
1982-03-01,11.57564
1982-04-01,11.40252
1982-05-01,11.28240
1982-06-01,11.30046
1982-07-01,11.32671
1982-08-01,11.27616
1982-09-01,11.20772
1982-10-01,11.15982
1982-11-01,11.19975
1982-12-01,11.35981
1983-01-01,11.59145
1983-02-01,11.82913
1983-03-01,12.09213
1983-04-01,12.38139
1983-05-01,12.68088
1983-06-01,12.96866
1983-07-01,13.18943
1983-08-01,13.38514
1983-09-01,13.75805
1983-10-01,14.26235
1983-11-01,14.73479
1983-12-01,15.08645
1984-01-01,15.37485
1984-02-01,15.71684
1984-03-01,16.16457
1984-04-01,16.67958
1984-05-01,17.19026
1984-06-01,17.65130
1984-07-01,18.07236
1984-08-01,18.48383
1984-09-01,18.89669
1984-10-01,19.32788
1984-11-01,19.69486
1984-12-01,19.90891
1985-01-01,19.96735
1985-02-01,19.91332
1985-03-01,19.84212
1985-04-01,19.80531
1985-05-01,19.83600
1985-06-01,19.79995
1985-07-01,19.65692
1985-08-01,19.59339
1985-09-01,19.67266
1985-10-01,19.84038
1985-11-01,19.96099
1985-12-01,19.93552
1986-01-01,19.81980
1986-02-01,19.76476
1986-03-01,19.80046
1986-04-01,19.84351
1986-05-01,19.80907
1986-06-01,19.78703
1986-07-01,19.92649
1986-08-01,20.10743
1986-09-01,20.22273
1986-10-01,20.30984
1986-11-01,20.42866
1986-12-01,20.57473
1987-01-01,20.66693
1987-02-01,20.64873
1987-03-01,20.57281
1987-04-01,20.60282
1987-05-01,20.79135
1987-06-01,21.11439
1987-07-01,21.50728
1987-08-01,21.84411
1987-09-01,22.07783
1987-10-01,22.25135
1987-11-01,22.44807
1987-12-01,22.73231
1988-01-01,23.09808
1988-02-01,23.54142
1988-03-01,24.01823
1988-04-01,24.44771
1988-05-01,24.80577
1988-06-01,25.09802
1988-07-01,25.27434
1988-08-01,25.30651
1988-09-01,25.29473
1988-10-01,25.36384
1988-11-01,25.50678
1988-12-01,25.59509
1989-01-01,25.52599
1989-02-01,25.46084
1989-03-01,25.64046
1989-04-01,25.99761
1989-05-01,26.24866
1989-06-01,26.33837
1989-07-01,26.38190
1989-08-01,26.42286
1989-09-01,26.42025
1989-10-01,26.43130
1989-11-01,26.54212
1989-12-01,26.76374
1990-01-01,26.94482
1990-02-01,26.90293
1990-03-01,26.66222
1990-04-01,26.40247
1990-05-01,26.20627
1990-06-01,26.00920
1990-07-01,25.83405
1990-08-01,25.82149
1990-09-01,25.94898
1990-10-01,25.95946
1990-11-01,25.69555
1990-12-01,25.33232
1991-01-01,25.05925
1991-02-01,24.95938
1991-03-01,24.96584
1991-04-01,25.05417
1991-05-01,25.20473
1991-06-01,25.34111
1991-07-01,25.47340
1991-08-01,25.66108
1991-09-01,25.87550
1991-10-01,26.04812
1991-11-01,26.19406
1991-12-01,26.43719
1992-01-01,26.84282
1992-02-01,27.34267
1992-03-01,27.93775
1992-04-01,28.58076
1992-05-01,29.18004
1992-06-01,29.66982
1992-07-01,29.98982
1992-08-01,30.16773
1992-09-01,30.37985
1992-10-01,30.65910
1992-11-01,30.91570
1992-12-01,31.07720
1993-01-01,31.19111
1993-02-01,31.31981
1993-03-01,31.46112
1993-04-01,31.65319
1993-05-01,31.96003
1993-06-01,32.33514
1993-07-01,32.67333
1993-08-01,33.02610
1993-09-01,33.47452
1993-10-01,34.01198
1993-11-01,34.55562
1993-12-01,35.01980
1994-01-01,35.44502
1994-02-01,35.99168
1994-03-01,36.81105
1994-04-01,37.75145
1994-05-01,38.50675
1994-06-01,39.04753
1994-07-01,39.57668
1994-08-01,40.25182
1994-09-01,41.15798
1994-10-01,42.31346
1994-11-01,43.52112
1994-12-01,44.48641
1995-01-01,45.21764
1995-02-01,46.08985
1995-03-01,47.36833
1995-04-01,48.80716
1995-05-01,49.95155
1995-06-01,50.56845
1995-07-01,51.05820
1995-08-01,52.06662
1995-09-01,53.44384
1995-10-01,54.59197
1995-11-01,55.23546
1995-12-01,55.59676
1996-01-01,56.01551
1996-02-01,56.71600
1996-03-01,57.44318
1996-04-01,57.98099
1996-05-01,58.42884
1996-06-01,58.92161
1996-07-01,59.54789
1996-08-01,60.35014
1996-09-01,61.31758
1996-10-01,62.29951
1996-11-01,63.04228
1996-12-01,63.63430
1997-01-01,64.57224
1997-02-01,66.19356
1997-03-01,68.00019
1997-04-01,69.49065
1997-05-01,70.80749
1997-06-01,72.27946
1997-07-01,73.88502
1997-08-01,75.20705
1997-09-01,75.75063
1997-10-01,75.64088
1997-11-01,75.57116
1997-12-01,75.99535
1998-01-01,76.75859
1998-02-01,77.42438
1998-03-01,77.68560
1998-04-01,77.68266
1998-05-01,77.63843
1998-06-01,77.82638
1998-07-01,78.29170
1998-08-01,79.13718
1998-09-01,80.36220
1998-10-01,81.66466
1998-11-01,82.89589
1998-12-01,84.18788
1999-01-01,85.68324
1999-02-01,87.33050
1999-03-01,89.03018
1999-04-01,90.89016
1999-05-01,92.87305
1999-06-01,94.77229
1999-07-01,95.95723
1999-08-01,95.93020
1999-09-01,95.35732
1999-10-01,95.18451
1999-11-01,95.86636
1999-12-01,97.48361
2000-01-01,100.00000
2000-02-01,103.05220
2000-03-01,106.32945
2000-04-01,109.42186
2000-05-01,111.88339
2000-06-01,113.60905
2000-07-01,114.96889
2000-08-01,116.11862
2000-09-01,117.13200
2000-10-01,117.63297
2000-11-01,117.58465
2000-12-01,116.62834
2001-01-01,113.99733
2001-02-01,109.67896
2001-03-01,104.27170
2001-04-01,98.68144
2001-05-01,93.84017
2001-06-01,89.68592
2001-07-01,85.90164
2001-08-01,82.87064
2001-09-01,80.85251
2001-10-01,79.51412
2001-11-01,78.31003
2001-12-01,77.01837
2002-01-01,75.63229
2002-02-01,74.55946
2002-03-01,73.63971
2002-04-01,72.53624
2002-05-01,71.24857
2002-06-01,70.01215
2002-07-01,68.93617
2002-08-01,67.90333
2002-09-01,66.76540
2002-10-01,65.60132
2002-11-01,64.63119
2002-12-01,64.00513
2003-01-01,63.95814
2003-02-01,64.33564
2003-03-01,64.75424
2003-04-01,65.23829
2003-05-01,65.97036
2003-06-01,66.92789
2003-07-01,67.93709
2003-08-01,69.04185
2003-09-01,70.37927
2003-10-01,71.58251
2003-11-01,72.18656
2003-12-01,72.20591
2004-01-01,72.00860
2004-02-01,71.91498
2004-03-01,72.01860
2004-04-01,72.24858
2004-05-01,72.51355
2004-06-01,72.70063
2004-07-01,72.80459
2004-08-01,72.90118
2004-09-01,73.00508
2004-10-01,73.07962
2004-11-01,73.07925
2004-12-01,73.14370
2005-01-01,73.35084
2005-02-01,73.55012
2005-03-01,73.56631
2005-04-01,73.43111
2005-05-01,73.30547
2005-06-01,73.39527
2005-07-01,73.91410
2005-08-01,74.85444
2005-09-01,75.94822
2005-10-01,76.94061
2005-11-01,77.92549
2005-12-01,79.28369
2006-01-01,80.96444
2006-02-01,82.44232
2006-03-01,83.15602
2006-04-01,83.37282
2006-05-01,83.63838
2006-06-01,83.98840
2006-07-01,84.38611
2006-08-01,85.01885
2006-09-01,85.53420
2006-10-01,85.59681
2006-11-01,85.52503
2006-12-01,85.81055
2007-01-01,86.77315
2007-02-01,88.35658
2007-03-01,90.02033
2007-04-01,90.86599
2007-05-01,90.29018
2007-06-01,89.00655
2007-07-01,88.22718
2007-08-01,88.44073
2007-09-01,89.39058
2007-10-01,90.71418
2007-11-01,91.84254
2007-12-01,91.96898
2008-01-01,91.18494
2008-02-01,90.25187
2008-03-01,89.71935
2008-04-01,89.41244
2008-05-01,88.73346
2008-06-01,87.21665
2008-07-01,85.14733
2008-08-01,82.92578
2008-09-01,80.23324
2008-10-01,76.47455
2008-11-01,72.01387
2008-12-01,68.02090
2009-01-01,65.38770
2009-02-01,64.16179
2009-03-01,63.64887
2009-04-01,63.41817
2009-05-01,63.61691
2009-06-01,64.48257
2009-07-01,65.80018
2009-08-01,67.09790
2009-09-01,68.25264
2009-10-01,69.16019
2009-11-01,69.68340
2009-12-01,69.99177
2010-01-01,70.52676
2010-02-01,71.19925
2010-03-01,71.73716
2010-04-01,72.03410
2010-05-01,72.15997
2010-06-01,72.46451
2010-07-01,73.14012
2010-08-01,73.78108
2010-09-01,74.12248
2010-10-01,74.29664
2010-11-01,74.42813
2010-12-01,74.33891
2011-01-01,73.90075
2011-02-01,73.38079
2011-03-01,73.18512
2011-04-01,73.39266
2011-05-01,73.61041
2011-06-01,73.56531
2011-07-01,73.47031
2011-08-01,73.60812
2011-09-01,73.67066
2011-10-01,73.28760
2011-11-01,72.61388
2011-12-01,72.12290
2012-01-01,72.04701
2012-02-01,72.12531
2012-03-01,72.12312
2012-04-01,72.23357
2012-05-01,72.37725
2012-06-01,72.00408
2012-07-01,70.93506
2012-08-01,70.04819
2012-09-01,70.35977
2012-10-01,71.42571
2012-11-01,72.18837
2012-12-01,72.43849
2013-01-01,72.57269
2013-02-01,72.85645
2013-03-01,73.20163
2013-04-01,73.43237
2013-05-01,73.51472
2013-06-01,73.50431
2013-07-01,73.43408
2013-08-01,73.32396
2013-09-01,73.20904
2013-10-01,73.11939
2013-11-01,73.02641
2013-12-01,72.85188
2014-01-01,72.76711
2014-02-01,72.95911
2014-03-01,73.30379
2014-04-01,73.66438
2014-05-01,74.02208
2014-06-01,74.21178
2014-07-01,73.99060
2014-08-01,73.37141
2014-09-01,72.58300
2014-10-01,71.92315
2014-11-01,71.47320
2014-12-01,71.18617
2015-01-01,71.15616
2015-02-01,71.51829
2015-03-01,72.12020
2015-04-01,72.69945
2015-05-01,73.13972
2015-06-01,73.55741
2015-07-01,73.98130
2015-08-01,74.29821
2015-09-01,74.38017
2015-10-01,74.07841
2015-11-01,73.43204
2015-12-01,72.85572
2016-01-01,72.51124
2016-02-01,72.32433
2016-03-01,72.26722
2016-04-01,72.35722
2016-05-01,72.78974
2016-06-01,73.58082
2016-07-01,74.42087
2016-08-01,74.99546
2016-09-01,75.44962
2016-10-01,76.06469
2016-11-01,76.85497
2016-12-01,77.50363
2017-01-01,77.64825
2017-02-01,77.52537
2017-03-01,77.82752
2017-04-01,78.72312
2017-05-01,79.69213
2017-06-01,80.41180
2017-07-01,81.05001
2017-08-01,82.04656
2017-09-01,83.36772
2017-10-01,84.60112
2017-11-01,85.60221
2017-12-01,86.53123
